Incident energy ; MT=16 : (z,2n) ; MT=17 : (z,3n) ; MT=18 : (z,fission) ; MT=28 : (z,n+p) ; MT=41 : (z,2n+p) ; MT=102 : (z,γ) ; MT=103 : (z,p)
Incident energy ;  ;  ;  ;  ;  ;  ; 
Incident energy ; σ(E) ; σ(E) ; σ(E) ; σ(E) ; σ(E) ; σ(E) ; σ(E)
0.065625 ;  ;  ;  ;  ;  ; 23.28638 ; 
0.06875 ;  ;  ;  ;  ;  ; 22.58871 ; 
0.071875 ;  ;  ;  ;  ;  ; 21.94256 ; 
0.075 ;  ;  ;  ;  ;  ; 21.34274 ; 
0.08125 ;  ;  ;  ;  ;  ; 20.25883 ; 
0.0875 ;  ;  ;  ;  ;  ; 19.3045 ; 
0.09375 ;  ;  ;  ;  ;  ; 18.4608 ; 
0.1 ;  ;  ;  ;  ;  ; 17.71046 ; 
0.10625 ;  ;  ;  ;  ;  ; 17.03939 ; 
0.1125 ;  ;  ;  ;  ;  ; 16.4362 ; 
0.11875 ;  ;  ;  ;  ;  ; 15.89164 ; 
0.125 ;  ;  ;  ;  ;  ; 15.3981 ; 
0.13125 ;  ;  ;  ;  ;  ; 14.94921 ; 
0.1375 ;  ;  ;  ;  ;  ; 14.53972 ; 
0.14375 ;  ;  ;  ;  ;  ; 14.16569 ; 
0.15 ;  ;  ;  ;  ;  ; 13.82444 ; 
0.1625 ;  ;  ;  ;  ;  ; 13.21979 ; 
0.175 ;  ;  ;  ;  ;  ; 12.70199 ; 
0.1875 ;  ;  ;  ;  ;  ; 12.2583 ; 
0.2 ;  ;  ;  ;  ;  ; 11.87556 ; 
0.209375 ;  ;  ;  ;  ;  ; 11.62333 ; 
0.21875 ;  ;  ;  ;  ;  ; 11.39959 ; 
0.2328125 ;  ;  ;  ;  ;  ; 11.10557 ; 
0.246875 ;  ;  ;  ;  ;  ; 10.85264 ; 
0.2609375 ;  ;  ;  ;  ;  ; 10.63725 ; 
0.275 ;  ;  ;  ;  ;  ; 10.45486 ; 
0.29375 ;  ;  ;  ;  ;  ; 10.25596 ; 
0.3125 ;  ;  ;  ;  ;  ; 10.10073 ; 
0.33125 ;  ;  ;  ;  ;  ; 9.983313 ; 
0.35 ;  ;  ;  ;  ;  ; 9.899226 ; 
0.36875 ;  ;  ;  ;  ;  ; 9.84501 ; 
0.3875 ;  ;  ;  ;  ;  ; 9.818031 ; 
0.40625 ;  ;  ;  ;  ;  ; 9.816318 ; 
0.425 ;  ;  ;  ;  ;  ; 9.83846 ; 
0.5 ;  ;  ;  ;  ;  ; 10.16394 ; 
0.560714 ;  ;  ;  ;  ;  ; 10.70947 ; 
0.591071 ;  ;  ;  ;  ;  ; 11.09033 ; 
0.6214279 ;  ;  ;  ;  ;  ; 11.60069 ; 
0.6517849 ;  ;  ;  ;  ;  ; 12.29559 ; 
0.6821418 ;  ;  ;  ;  ;  ; 13.30164 ; 
0.6973203 ;  ;  ;  ;  ;  ; 14.0677 ; 
0.7124988 ;  ;  ;  ;  ;  ; 15.19156 ; 
0.7200881 ;  ;  ;  ;  ;  ; 15.998 ; 
0.7276773 ;  ;  ;  ;  ;  ; 17.08364 ; 
0.7352665 ;  ;  ;  ;  ;  ; 18.61569 ; 
0.7390611 ;  ;  ;  ;  ;  ; 19.63323 ; 
0.7428557 ;  ;  ;  ;  ;  ; 20.88304 ; 
0.7481815 ;  ;  ;  ;  ;  ; 23.1477 ; 
0.7535073 ;  ;  ;  ;  ;  ; 26.17704 ; 
0.7588331 ;  ;  ;  ;  ;  ; 30.12075 ; 
0.7641588 ;  ;  ;  ;  ;  ; 34.98569 ; 
0.7765794 ;  ;  ;  ;  ;  ; 47.74547 ; 
0.7796846 ;  ;  ;  ;  ;  ; 50.37322 ; 
0.7827897 ;  ;  ;  ;  ;  ; 52.39556 ; 
0.7858949 ;  ;  ;  ;  ;  ; 53.65667 ; 
0.789 ;  ;  ;  ;  ;  ; 54.05834 ; 
0.7918005 ;  ;  ;  ;  ;  ; 53.66095 ; 
0.794601 ;  ;  ;  ;  ;  ; 52.57795 ; 
0.8002019 ;  ;  ;  ;  ;  ; 48.71487 ; 
0.8114038 ;  ;  ;  ;  ;  ; 37.905 ; 
