Incident energy ; MT=16 : (z,2n) ; MT=17 : (z,3n) ; MT=102 : (z,γ) ; MT=103 : (z,p) ; MT=107 : (z,α)
Incident energy ;  ;  ;  ;  ; 
Incident energy ; σ(E) ; σ(E) ; σ(E) ; σ(E) ; σ(E)
3.125 ;  ;  ; 0.1510639 ;  ; 4.97815E-13
3.5 ;  ;  ; 0.1436362 ;  ; 5.57542E-13
4.25 ;  ;  ; 0.131999 ;  ; 6.76997E-13
5.0 ;  ;  ; 0.1232584 ;  ; 7.96452E-13
6.25 ;  ;  ; 0.1126314 ;  ; 9.95544E-13
7.5 ;  ;  ; 0.1050639 ;  ; 1.19464E-12
8.75 ;  ;  ; 0.09942556 ;  ; 1.39373E-12
10.0 ;  ;  ; 0.09508859 ;  ; 1.59282E-12
12.5 ;  ;  ; 0.08896281 ;  ; 1.991E-12
15.0 ;  ;  ; 0.08503882 ;  ; 2.38919E-12
17.5 ;  ;  ; 0.08253498 ;  ; 2.78737E-12
20.0 ;  ;  ; 0.08102712 ;  ; 3.18555E-12
23.75 ;  ;  ; 0.08012747 ;  ; 3.78283E-12
27.5 ;  ;  ; 0.08048119 ;  ; 4.3801E-12
31.25 ;  ;  ; 0.081854 ;  ; 4.97738E-12
35.0 ;  ;  ; 0.08414434 ;  ; 5.57465E-12
38.75 ;  ;  ; 0.08732469 ;  ; 6.17193E-12
42.5 ;  ;  ; 0.09142413 ;  ; 6.7692E-12
46.25 ;  ;  ; 0.0965208 ;  ; 7.36648E-12
50.0 ;  ;  ; 0.1027422 ;  ; 7.96375E-12
53.76173 ;  ;  ; 0.1102979 ;  ; 8.5629E-12
57.52345 ;  ;  ; 0.1194264 ;  ; 9.16204E-12
61.28518 ;  ;  ; 0.130476 ;  ; 9.76118E-12
65.0469 ;  ;  ; 0.1439081 ;  ; 1.03603E-11
66.38174 ;  ;  ; 0.1494175 ;  ; 1.05729E-11
67.71658 ;  ;  ; 0.1553196 ;  ; 1.07855E-11
