Incident energy ; MT=16 : (z,2n) ; MT=17 : (z,3n) ; MT=22 : (z,n+α) ; MT=28 : (z,n+p) ; MT=102 : (z,γ) ; MT=103 : (z,p) ; MT=107 : (z,α)
Incident energy ;  ;  ;  ;  ;  ;  ; 
Incident energy ; σ(E) ; σ(E) ; σ(E) ; σ(E) ; σ(E) ; σ(E) ; σ(E)
0.29375 ;  ;  ;  ;  ; 2.577028E-4 ;  ; 
0.3125 ;  ;  ;  ;  ; 2.498454E-4 ;  ; 
0.33125 ;  ;  ;  ;  ; 2.426732E-4 ;  ; 
0.35 ;  ;  ;  ;  ; 2.36127E-4 ;  ; 
0.3875 ;  ;  ;  ;  ; 2.244472E-4 ;  ; 
0.425 ;  ;  ;  ;  ; 2.142975E-4 ;  ; 
0.5 ;  ;  ;  ;  ; 1.975918E-4 ;  ; 
0.625 ;  ;  ;  ;  ; 1.767337E-4 ;  ; 
0.75 ;  ;  ;  ;  ; 1.613108E-4 ;  ; 
0.875 ;  ;  ;  ;  ; 1.493678E-4 ;  ; 
1.0 ;  ;  ;  ;  ; 1.39743E-4 ;  ; 
1.25 ;  ;  ;  ;  ; 1.249658E-4 ;  ; 
1.5 ;  ;  ;  ;  ; 1.140659E-4 ;  ; 
1.75 ;  ;  ;  ;  ; 1.056166E-4 ;  ; 
2.0 ;  ;  ;  ;  ; 9.880081E-5 ;  ; 
2.375 ;  ;  ;  ;  ; 9.06666E-5 ;  ; 
2.75 ;  ;  ;  ;  ; 8.426871E-5 ;  ; 
3.125 ;  ;  ;  ;  ; 7.904635E-5 ;  ; 
3.5 ;  ;  ;  ;  ; 7.468928E-5 ;  ; 
4.25 ;  ;  ;  ;  ; 6.777807E-5 ;  ; 
5.0 ;  ;  ;  ;  ; 6.249367E-5 ;  ; 
6.25 ;  ;  ;  ;  ; 5.590231E-5 ;  ; 
7.5 ;  ;  ;  ;  ; 5.103473E-5 ;  ; 
8.75 ;  ;  ;  ;  ; 4.725651E-5 ;  ; 
10.0 ;  ;  ;  ;  ; 4.421186E-5 ;  ; 
12.5 ;  ;  ;  ;  ; 3.955113E-5 ;  ; 
15.0 ;  ;  ;  ;  ; 3.611249E-5 ;  ; 
17.5 ;  ;  ;  ;  ; 3.344284E-5 ;  ; 
20.0 ;  ;  ;  ;  ; 3.129106E-5 ;  ; 
23.75 ;  ;  ;  ;  ; 2.872508E-5 ;  ; 
27.5 ;  ;  ;  ;  ; 2.670557E-5 ;  ; 
31.25 ;  ;  ;  ;  ; 2.50607E-5 ;  ; 
35.0 ;  ;  ;  ;  ; 2.368851E-5 ;  ; 
42.5 ;  ;  ;  ;  ; 2.151253E-5 ;  ; 
50.0 ;  ;  ;  ;  ; 1.98486E-5 ;  ; 
62.5 ;  ;  ;  ;  ; 1.777541E-5 ;  ; 
75.0 ;  ;  ;  ;  ; 1.624676E-5 ;  ; 
87.5 ;  ;  ;  ;  ; 1.506067E-5 ;  ; 
100.0 ;  ;  ;  ;  ; 1.41059E-5 ;  ; 
125.0 ;  ;  ;  ;  ; 1.264819E-5 ;  ; 
150.0 ;  ;  ;  ;  ; 1.15751E-5 ;  ; 
175.0 ;  ;  ;  ;  ; 1.074354E-5 ;  ; 
200.0 ;  ;  ;  ;  ; 1.0075E-5 ;  ; 
237.5 ;  ;  ;  ;  ; 9.280372E-6 ;  ; 
275.0 ;  ;  ;  ;  ; 8.657106E-6 ;  ; 
312.5 ;  ;  ;  ;  ; 8.151693E-6 ;  ; 
350.0 ;  ;  ;  ;  ; 7.731671E-6 ;  ; 
425.0 ;  ;  ;  ;  ; 7.069414E-6 ;  ; 
500.0 ;  ;  ;  ;  ; 6.566996E-6 ;  ; 
625.0 ;  ;  ;  ;  ; 5.947935E-6 ;  ; 
750.0 ;  ;  ;  ;  ; 5.4983E-6 ;  ; 
875.0 ;  ;  ;  ;  ; 5.154828E-6 ;  ; 
1000.0 ;  ;  ;  ;  ; 4.882951E-6 ;  ; 
1250.0 ;  ;  ;  ;  ; 4.478922E-6 ;  ; 
1500.0 ;  ;  ;  ;  ; 4.193558E-6 ;  ; 
1750.0 ;  ;  ;  ;  ; 3.982847E-6 ;  ; 
2000.0 ;  ;  ;  ;  ; 3.822982E-6 ;  ; 
2750.0 ;  ;  ;  ;  ; 3.533584E-6 ;  ; 
3500.0 ;  ;  ;  ;  ; 3.433742E-6 ;  ; 
4250.0 ;  ;  ;  ;  ; 3.564653E-6 ;  ; 
5000.0 ;  ;  ;  ;  ; 5.051087E-6 ;  ; 
5080.733 ;  ;  ;  ;  ; 5.686809E-6 ;  ; 
5121.099 ;  ;  ;  ;  ; 6.132623E-6 ;  ; 
5161.465 ;  ;  ;  ;  ; 6.706978E-6 ;  ; 
5201.831 ;  ;  ;  ;  ; 7.464089E-6 ;  ; 
5222.014 ;  ;  ;  ;  ; 7.920133E-6 ;  ; 
5242.197 ;  ;  ;  ;  ; 8.455522E-6 ;  ; 
5262.38 ;  ;  ;  ;  ; 9.098881E-6 ;  ; 
5282.563 ;  ;  ;  ;  ; 9.865829E-6 ;  ; 
5302.746 ;  ;  ;  ;  ; 1.079081E-5 ;  ; 
5322.929 ;  ;  ;  ;  ; 1.192185E-5 ;  ; 
5340.738 ;  ;  ;  ;  ; 1.314331E-5 ;  ; 
5358.547 ;  ;  ;  ;  ; 1.464154E-5 ;  ; 
5376.356 ;  ;  ;  ;  ; 1.650516E-5 ;  ; 
5394.164 ;  ;  ;  ;  ; 1.886094E-5 ;  ; 
5403.069 ;  ;  ;  ;  ; 2.022161E-5 ;  ; 
5411.973 ;  ;  ;  ;  ; 2.182066E-5 ;  ; 
5420.877 ;  ;  ;  ;  ; 2.365355E-5 ;  ; 
5429.781 ;  ;  ;  ;  ; 2.576815E-5 ;  ; 
5438.686 ;  ;  ;  ;  ; 2.822586E-5 ;  ; 
5447.59 ;  ;  ;  ;  ; 3.110506E-5 ;  ; 
5456.494 ;  ;  ;  ;  ; 3.450941E-5 ;  ; 
5465.398 ;  ;  ;  ;  ; 3.857613E-5 ;  ; 
5473.709 ;  ;  ;  ;  ; 4.313785E-5 ;  ; 
5482.02 ;  ;  ;  ;  ; 4.865769E-5 ;  ; 
5490.331 ;  ;  ;  ;  ; 5.540679E-5 ;  ; 
5498.641 ;  ;  ;  ;  ; 6.351932E-5 ;  ; 
5506.952 ;  ;  ;  ;  ; 7.392644E-5 ;  ; 
5511.107 ;  ;  ;  ;  ; 8.016789E-5 ;  ; 
5515.262 ;  ;  ;  ;  ; 8.727042E-5 ;  ; 
5519.418 ;  ;  ;  ;  ; 9.54008E-5 ;  ; 
5523.573 ;  ;  ;  ;  ; 1.047625E-4 ;  ; 
5527.728 ;  ;  ;  ;  ; 1.156218E-4 ;  ; 
5531.883 ;  ;  ;  ;  ; 1.283195E-4 ;  ; 
5536.336 ;  ;  ;  ;  ; 1.444738E-4 ;  ; 
5540.788 ;  ;  ;  ;  ; 1.639649E-4 ;  ; 
5545.24 ;  ;  ;  ;  ; 1.877863E-4 ;  ; 
5549.692 ;  ;  ;  ;  ; 2.171833E-4 ;  ; 
5551.919 ;  ;  ;  ;  ; 2.34329E-4 ;  ; 
5554.145 ;  ;  ;  ;  ; 2.538526E-4 ;  ; 
5556.371 ;  ;  ;  ;  ; 2.760828E-4 ;  ; 
5558.597 ;  ;  ;  ;  ; 3.014202E-4 ;  ; 
5560.823 ;  ;  ;  ;  ; 3.304593E-4 ;  ; 
5563.049 ;  ;  ;  ;  ; 3.639588E-4 ;  ; 
5565.275 ;  ;  ;  ;  ; 4.028835E-4 ;  ; 
5567.501 ;  ;  ;  ;  ; 4.484742E-4 ;  ; 
