Incident energy ; MT=16 : (z,2n) ; MT=17 : (z,3n) ; MT=18 : (z,fission) ; MT=41 : (z,2n+p) ; MT=28 : (z,n+p) ; MT=102 : (z,γ) ; MT=103 : (z,p)
Incident energy ;  ;  ;  ;  ;  ;  ; 
Incident energy ; σ(E) ; σ(E) ; σ(E) ; σ(E) ; σ(E) ; σ(E) ; σ(E)
0.02684375 ;  ;  ; 0.02027526 ;  ;  ; 193.0716 ; 
0.0283875 ;  ;  ; 0.01972932 ;  ;  ; 186.1405 ; 
0.02993125 ;  ;  ; 0.01922711 ;  ;  ; 179.7984 ; 
0.031475 ;  ;  ; 0.01876327 ;  ;  ; 173.9752 ; 
0.03301875 ;  ;  ; 0.01833341 ;  ;  ; 168.6129 ; 
0.0345625 ;  ;  ; 0.01793386 ;  ;  ; 163.6628 ; 
0.03610625 ;  ;  ; 0.01756144 ;  ;  ; 159.0826 ; 
0.03765 ;  ;  ; 0.01721322 ;  ;  ; 154.8332 ; 
0.0407375 ;  ;  ; 0.01657904 ;  ;  ; 147.1872 ; 
0.043825 ;  ;  ; 0.0160149 ;  ;  ; 140.5032 ; 
0.0469125 ;  ;  ; 0.01550983 ;  ;  ; 134.6323 ; 
0.05 ;  ;  ; 0.01505502 ;  ;  ; 129.4544 ; 
0.053125 ;  ;  ; 0.01463838 ;  ;  ; 124.8167 ; 
0.05625 ;  ;  ; 0.01425956 ;  ;  ; 120.7013 ; 
0.059375 ;  ;  ; 0.01391357 ;  ;  ; 117.0393 ; 
0.0625 ;  ;  ; 0.01359632 ;  ;  ; 113.7742 ; 
0.065625 ;  ;  ; 0.0133044 ;  ;  ; 110.8591 ; 
0.06875 ;  ;  ; 0.01303511 ;  ;  ; 108.2561 ; 
0.071875 ;  ;  ; 0.01278628 ;  ;  ; 105.936 ; 
0.075 ;  ;  ; 0.01255591 ;  ;  ; 103.8707 ; 
0.08125 ;  ;  ; 0.01214146 ;  ;  ; 100.38 ; 
0.0875 ;  ;  ; 0.01177919 ;  ;  ; 97.61257 ; 
0.09375 ;  ;  ; 0.01146191 ;  ;  ; 95.47247 ; 
0.1 ;  ;  ; 0.01118316 ;  ;  ; 93.87428 ; 
0.1046875 ;  ;  ; 0.01099619 ;  ;  ; 92.99023 ; 
0.109375 ;  ;  ; 0.01082613 ;  ;  ; 92.35063 ; 
0.1140625 ;  ;  ; 0.01067148 ;  ;  ; 91.93742 ; 
0.11875 ;  ;  ; 0.01053096 ;  ;  ; 91.73598 ; 
0.125 ;  ;  ; 0.01036375 ;  ;  ; 91.77709 ; 
0.13125 ;  ;  ; 0.01021765 ;  ;  ; 92.15361 ; 
0.1375 ;  ;  ; 0.01009099 ;  ;  ; 92.85164 ; 
0.14375 ;  ;  ; 0.009982435 ;  ;  ; 93.86312 ; 
0.15 ;  ;  ; 0.009890964 ;  ;  ; 95.18525 ; 
0.15625 ;  ;  ; 0.009815809 ;  ;  ; 96.82005 ; 
0.1625 ;  ;  ; 0.009756444 ;  ;  ; 98.77416 ; 
0.16875 ;  ;  ; 0.009712555 ;  ;  ; 101.0588 ; 
0.175 ;  ;  ; 0.009684036 ;  ;  ; 103.6898 ; 
0.18125 ;  ;  ; 0.009670982 ;  ;  ; 106.688 ; 
0.1859375 ;  ;  ; 0.009671508 ;  ;  ; 109.193 ; 
0.190625 ;  ;  ; 0.009681086 ;  ;  ; 111.932 ; 
0.1953125 ;  ;  ; 0.009699971 ;  ;  ; 114.9194 ; 
0.2 ;  ;  ; 0.009728515 ;  ;  ; 118.1728 ; 
0.2075561 ;  ;  ; 0.00979609 ;  ;  ; 124.0314 ; 
