Incident energy ; MT=16 : (z,2n) ; MT=17 : (z,3n) ; MT=18 : (z,fission) ; MT=102 : (z,γ)
Incident energy ;  ;  ;  ; 
Incident energy ; σ(E) ; σ(E) ; σ(E) ; σ(E)
25.0 ;  ;  ; 29.82146 ; 50.91766
30.0 ;  ;  ; 27.1786 ; 46.3992
35.0 ;  ;  ; 25.12084 ; 42.88052
40.0 ;  ;  ; 23.4647 ; 40.04893
50.0 ;  ;  ; 20.9372 ; 35.7282
60.0 ;  ;  ; 19.06881 ; 32.53377
70.0 ;  ;  ; 17.6198 ; 30.0568
72.0 ;  ;  ; 17.36628 ; 29.62333
85.0 ;  ;  ; 15.94485 ; 27.19326
100.0 ;  ;  ; 14.6659 ; 25.0072
125.0 ;  ;  ; 13.06669 ; 22.27281
141.0 ;  ;  ; 12.27722 ; 20.9233
141.421 ;  ;  ; 12.25829 ; 20.89095
150.0 ;  ;  ; 11.89038 ; 20.26214
170.0 ;  ;  ; 11.14474 ; 18.98791
200.0 ;  ;  ; 10.2459 ; 17.4522
250.0 ;  ;  ; 9.122396 ; 15.53194
300.0 ;  ;  ; 8.29651 ; 14.1209
350.0 ;  ;  ; 7.654409 ; 13.02345
400.0 ;  ;  ; 7.138505 ; 12.14199
500.0 ;  ;  ; 6.35281 ; 10.8001
600.0 ;  ;  ; 5.774561 ; 9.812251
700.0 ;  ;  ; 5.32692 ; 9.04787
720.0 ;  ;  ; 5.249064 ; 8.91487
850.0 ;  ;  ; 4.812895 ; 8.169983
1000.0 ;  ;  ; 4.42097 ; 7.50099
1250.0 ;  ;  ; 3.939737 ; 6.679108
1500.0 ;  ;  ; 3.585693 ; 6.074892
1700.0 ;  ;  ; 3.361239 ; 5.69205
2000.0 ;  ;  ; 3.09063 ; 5.23072
2500.0 ;  ;  ; 2.763904 ; 4.673296
3000.0 ;  ;  ; 2.52276 ; 4.26224
3500.0 ;  ;  ; 2.344963 ; 3.958818
4000.0 ;  ;  ; 2.201109 ; 3.713498
5000.0 ;  ;  ; 1.98014 ; 3.337
6000.0 ;  ;  ; 1.828827 ; 3.078646
7000.0 ;  ;  ; 1.70995 ; 2.87588
7200.0 ;  ;  ; 1.691107 ; 2.84359
8500.0 ;  ;  ; 1.584223 ; 2.660565
10000.0 ;  ;  ; 1.48612 ; 2.49278
12500.0 ;  ;  ; 1.385456 ; 2.317445
15000.0 ;  ;  ; 1.308291 ; 2.183381
17000.0 ;  ;  ; 1.25782 ; 2.095864
