Incident energy ; MT=16 : (z,2n) ; MT=102 : (z,γ) ; MT=103 : (z,p) ; MT=107 : (z,α)
Incident energy ;  ;  ;  ; 
Incident energy ; σ(E) ; σ(E) ; σ(E) ; σ(E)
166.687 ;  ; 0.2722655 ;  ; 4.59116E-5
166.9473 ;  ; 0.3082601 ;  ; 4.587672E-5
167.2076 ;  ; 0.3520586 ;  ; 4.584183E-5
167.4679 ;  ; 0.4060225 ;  ; 4.580694E-5
167.7282 ;  ; 0.4735771 ;  ; 4.577205E-5
167.8584 ;  ; 0.5139523 ;  ; 4.57546E-5
167.9885 ;  ; 0.5597443 ;  ; 4.573716E-5
168.1187 ;  ; 0.6120509 ;  ; 4.571971E-5
168.2488 ;  ; 0.6720585 ;  ; 4.570227E-5
168.379 ;  ; 0.7414402 ;  ; 4.568482E-5
168.5091 ;  ; 0.8221156 ;  ; 4.566738E-5
168.6984 ;  ; 0.9655138 ;  ; 4.564201E-5
168.7931 ;  ; 1.052057 ;  ; 4.562931E-5
168.8877 ;  ; 1.151004 ;  ; 4.561663E-5
168.9824 ;  ; 1.265167 ;  ; 4.560394E-5
169.077 ;  ; 1.397592 ;  ; 4.559126E-5
169.1717 ;  ; 1.552799 ;  ; 4.557857E-5
169.2663 ;  ; 1.736016 ;  ; 4.556589E-5
169.3669 ;  ; 1.970134 ;  ; 4.55524E-5
169.4675 ;  ; 2.256983 ;  ; 4.553892E-5
169.5681 ;  ; 2.614589 ;  ; 4.552543E-5
169.6184 ;  ; 2.82796 ;  ; 4.551869E-5
169.6686 ;  ; 3.069838 ;  ; 4.551196E-5
169.7189 ;  ; 3.347296 ;  ; 4.550522E-5
169.7692 ;  ; 3.668007 ;  ; 4.549848E-5
169.8195 ;  ; 4.043065 ;  ; 4.549174E-5
169.8698 ;  ; 4.488131 ;  ; 4.5485E-5
169.9201 ;  ; 5.026024 ;  ; 4.547825E-5
169.9704 ;  ; 5.690918 ;  ; 4.547151E-5
169.9956 ;  ; 6.087171 ;  ; 4.546813E-5
170.0207 ;  ; 6.534947 ;  ; 4.546477E-5
170.0458 ;  ; 7.046627 ;  ; 4.546141E-5
170.0709 ;  ; 7.635698 ;  ; 4.545804E-5
170.0961 ;  ; 8.321734 ;  ; 4.545466E-5
170.1212 ;  ; 9.119791 ;  ; 4.54513E-5
170.1464 ;  ; 10.06139 ;  ; 4.544792E-5
170.1715 ;  ; 11.16939 ;  ; 4.544456E-5
170.1967 ;  ; 12.48926 ;  ; 4.544118E-5
170.2218 ;  ; 14.05388 ;  ; 4.543782E-5
170.247 ;  ; 15.92702 ;  ; 4.543444E-5
170.2721 ;  ; 18.15314 ;  ; 4.543107E-5
170.2973 ;  ; 20.81834 ;  ; 4.54277E-5
170.3224 ;  ; 23.97831 ;  ; 4.542433E-5
170.3476 ;  ; 27.744 ;  ; 4.542095E-5
170.3727 ;  ; 32.17848 ;  ; 4.541759E-5
170.3979 ;  ; 37.41677 ;  ; 4.541421E-5
170.423 ;  ; 43.52035 ;  ; 4.541085E-5
170.4481 ;  ; 50.612 ;  ; 4.540748E-5
170.4732 ;  ; 58.79234 ;  ; 4.540412E-5
170.5043 ;  ; 70.57637 ;  ; 4.539995E-5
170.5353 ;  ; 84.27328 ;  ; 4.539579E-5
170.5664 ;  ; 100.0696 ;  ; 4.539163E-5
170.5974 ;  ; 117.8942 ;  ; 4.538747E-5
170.6285 ;  ; 137.8071 ;  ; 4.53833E-5
170.6595 ;  ; 159.5238 ;  ; 4.537915E-5
170.7216 ;  ; 207.4367 ;  ; 4.537082E-5
170.7867 ;  ; 260.4886 ;  ; 4.53621E-5
170.8518 ;  ; 310.4892 ;  ; 4.535337E-5
